,GeoID,ARTHRITIS,BPHIGH,CANCER,CASTHMA,CHD,COPD,DEPRESSION,DIABETES,HIGHCHOL,KIDNEY,OBESITY,STROKE,TEETHLOST,TotalPopulation
1109,36061004200,9.2,12.3,2.8,10.0,1.8,2.6,21.3,3.2,18.0,1.2,14.4,1.1,9.2,5145.0
1110,36061004300,14.7,19.4,4.7,9.0,3.3,3.6,19.2,6.0,26.8,1.8,17.2,1.8,7.3,4270.0
1111,36061004400,16.9,20.0,6.2,9.2,3.4,3.5,19.7,5.4,27.8,1.9,16.3,1.8,6.3,16538.0
1112,36061004500,18.2,22.6,5.6,9.4,4.1,5.0,20.5,6.8,30.4,2.0,19.2,2.2,8.7,1136.0
1113,36061004700,15.8,18.9,5.7,8.8,3.1,3.1,19.5,4.9,27.7,1.7,17.2,1.6,4.8,2524.0
1114,36061004800,14.7,17.8,5.2,9.3,3.0,3.2,20.3,4.7,25.2,1.7,16.4,1.6,7.3,7229.0
1115,36061004900,17.3,20.6,6.1,9.2,3.7,3.8,20.6,5.5,28.4,1.9,18.1,1.8,6.0,4942.0
1116,36061005000,16.1,18.8,6.0,8.8,3.1,3.1,19.7,4.7,27.3,1.7,16.6,1.6,4.7,5055.0
1117,36061005200,13.5,16.3,4.7,9.2,2.6,3.0,20.2,4.1,24.0,1.5,15.8,1.4,6.0,3408.0
1118,36061005400,16.9,20.3,6.2,8.8,3.4,3.4,19.3,5.3,29.0,1.8,17.3,1.7,5.1,4536.0
1119,36061005501,17.7,20.9,6.7,8.8,3.7,3.4,18.7,5.4,29.1,1.9,16.8,1.8,5.1,4204.0
1120,36061005502,14.9,19.1,4.8,9.3,3.2,3.6,20.5,5.2,26.0,1.7,18.9,1.7,7.0,2257.0
1121,36061005600,14.5,19.0,4.5,9.4,3.0,3.4,20.1,5.2,25.7,1.7,19.0,1.6,8.0,3322.0
1122,36061005700,17.2,20.0,6.9,8.5,3.5,3.1,18.8,4.8,29.0,1.8,15.9,1.7,4.2,2781.0
1123,36061005800,9.1,12.2,3.2,8.4,1.5,1.8,19.0,2.8,19.7,1.0,14.9,0.9,4.3,3512.0
1124,36061005900,18.1,20.7,7.0,9.0,3.8,3.7,19.5,5.2,29.0,1.9,16.1,1.9,5.9,5401.0
1125,36061006000,22.1,25.1,9.6,8.4,5.1,3.9,17.6,6.2,32.6,2.5,15.6,2.4,5.2,4511.0
1126,36061006100,12.6,15.2,4.5,9.2,2.4,2.8,20.3,3.7,22.8,1.4,15.1,1.3,6.1,5224.0
1127,36061006200,15.8,22.8,4.5,10.0,4.2,4.7,19.4,7.8,27.4,2.2,20.0,2.4,13.3,4437.0
1128,36061006300,19.0,22.0,7.4,8.9,4.1,3.6,19.5,5.5,30.4,2.0,17.3,2.0,5.5,6380.0
1129,36061006400,15.3,18.4,5.6,9.2,3.1,3.1,20.1,4.8,25.8,1.7,16.6,1.6,6.3,8090.0
1130,36061006500,12.4,15.4,4.3,9.4,2.6,2.9,21.1,3.8,22.2,1.4,16.0,1.3,6.7,6202.0
1131,36061006600,16.4,21.0,5.3,9.8,3.8,4.1,20.2,6.8,27.1,2.1,18.3,2.1,10.8,11740.0
1132,36061006700,13.9,16.6,5.2,8.9,2.7,2.8,20.2,3.9,24.7,1.5,16.5,1.4,5.2,5461.0
1133,36061006800,12.4,15.8,4.3,9.4,2.5,2.8,20.5,4.1,22.5,1.5,16.0,1.4,6.8,7614.0
1134,36061006900,12.6,15.4,4.2,9.2,2.2,2.6,21.1,3.6,23.3,1.3,17.3,1.2,4.3,2759.0
1135,36061007000,13.0,16.1,4.9,8.8,2.6,2.5,19.3,4.0,23.6,1.5,15.2,1.3,5.1,8871.0
1136,36061007100,16.9,19.7,6.3,9.2,3.5,3.4,20.2,5.0,27.8,1.8,16.9,1.8,6.0,5429.0
1137,36061007200,12.2,15.2,4.2,9.5,2.5,2.8,21.3,3.8,21.9,1.4,15.6,1.3,6.8,8664.0
1138,36061007300,15.4,18.2,5.8,8.9,3.0,2.9,20.2,4.4,26.7,1.6,17.0,1.5,4.9,6215.0
1139,36061007400,11.3,14.1,4.1,9.1,2.1,2.3,20.2,3.4,21.5,1.3,14.7,1.1,5.6,4319.0
1140,36061007500,16.5,19.5,6.0,8.8,3.2,3.1,19.9,4.9,28.5,1.7,18.0,1.6,4.7,4159.0
1141,36061007600,10.9,15.4,3.5,8.6,2.3,2.6,17.6,4.3,22.4,1.4,14.2,1.3,6.2,2277.0
1142,36061007700,16.6,19.6,6.1,9.0,3.4,3.3,20.1,5.0,28.0,1.8,17.9,1.7,5.4,5966.0
1143,36061007800,13.6,16.7,5.0,8.6,2.6,2.6,18.9,4.3,24.9,1.5,15.5,1.4,5.1,8391.0
1144,36061007900,19.0,22.4,7.1,9.0,4.1,3.8,19.7,5.8,30.3,2.1,18.4,2.1,6.9,4442.0
1145,36061008000,17.1,20.0,6.7,8.7,3.5,3.2,19.1,5.0,28.6,1.8,16.0,1.7,5.9,5377.0
1146,36061008100,15.2,18.9,5.5,8.7,3.1,3.0,19.1,5.0,27.3,1.7,17.9,1.6,6.0,8047.0
1147,36061008200,17.4,20.5,6.5,8.7,3.5,3.4,18.9,5.3,28.9,1.9,16.8,1.8,5.3,3262.0
1148,36061008300,15.8,21.6,4.9,9.3,3.7,3.8,19.0,7.4,27.7,2.2,20.8,2.0,11.0,4092.0
1149,36061008400,9.3,13.7,3.0,7.9,1.8,2.0,16.3,3.6,20.3,1.2,14.0,1.0,5.5,1595.0
1150,36061008601,11.3,14.6,4.2,8.2,2.0,2.1,18.1,3.7,23.1,1.2,14.2,1.1,4.3,2618.0
1151,36061008603,25.1,28.2,10.3,8.6,5.7,4.5,18.0,7.3,37.2,2.6,17.2,2.6,4.9,4799.0
1152,36061008700,13.2,17.0,4.8,8.4,2.6,2.5,18.7,4.4,25.5,1.5,17.3,1.3,4.8,6338.0
1153,36061008800,16.6,19.7,6.3,8.6,3.2,3.1,18.4,5.3,28.5,1.8,15.9,1.7,5.1,7026.0
1154,36061008900,16.5,20.9,5.3,9.4,3.7,4.1,20.3,6.2,28.1,2.0,19.8,1.9,8.4,5708.0
1155,36061009000,15.9,19.3,5.7,9.0,3.3,3.4,19.3,5.3,27.4,1.8,16.4,1.7,5.6,7883.0
1156,36061009100,14.4,18.7,4.8,9.0,3.0,3.1,19.3,5.1,26.3,1.7,18.2,1.6,6.5,6304.0
1157,36061009200,12.4,16.0,4.5,8.3,2.4,2.4,18.1,4.1,23.9,1.4,15.4,1.3,5.0,1806.0
1158,36061009300,22.9,27.8,7.6,9.6,5.7,5.8,19.8,8.9,34.0,2.8,21.6,3.0,10.4,8780.0
1159,36061009500,10.1,13.0,3.1,10.3,1.9,2.5,22.4,3.3,19.9,1.2,15.3,1.0,7.5,3040.0
1160,36061009700,25.7,32.8,8.4,9.7,7.4,7.0,18.2,11.9,36.7,3.6,22.2,3.9,12.8,5224.0
1161,36061009800,16.9,20.0,6.1,9.0,3.5,3.6,19.9,5.2,28.0,1.8,17.3,1.8,6.1,7316.0
1162,36061009900,12.0,15.9,3.8,9.2,2.1,2.7,19.9,4.0,23.0,1.4,19.2,1.2,6.2,1945.0
1163,36061010000,16.0,20.1,6.1,8.5,3.5,3.0,18.1,5.3,27.9,1.8,16.6,1.7,5.6,1992.0
1164,36061010100,13.7,21.0,4.1,8.6,3.3,3.3,17.1,6.5,25.8,1.9,19.2,1.9,7.7,1116.0
1165,36061010300,10.8,14.9,3.7,8.5,2.1,2.3,18.1,3.8,21.7,1.3,15.7,1.2,6.2,2058.0
1166,36061010601,27.6,30.7,11.6,8.7,6.5,5.2,18.1,8.0,39.1,3.0,17.2,3.0,5.6,7351.0
1167,36061010602,15.9,18.9,6.1,8.4,3.1,2.9,18.6,4.8,27.8,1.7,16.2,1.6,4.7,4875.0
1168,36061010800,17.7,20.5,7.0,8.8,3.7,3.3,19.3,5.2,29.2,1.9,16.2,1.8,4.7,9039.0
1169,36061011000,16.8,19.6,6.5,8.9,3.4,3.2,19.8,4.9,27.7,1.8,16.6,1.7,5.7,7169.0
1170,36061011100,12.9,17.7,4.1,9.2,2.7,3.0,19.2,5.3,24.3,1.7,18.1,1.5,7.7,3512.0
1171,36061011203,20.5,23.9,8.2,8.7,4.6,3.7,18.7,6.3,32.2,2.3,16.8,2.2,4.7,1401.0
1172,36061011401,26.7,30.4,11.2,8.5,6.5,5.0,17.6,8.0,38.2,3.0,17.3,3.0,6.7,1412.0
1173,36061011402,22.7,25.6,9.3,8.7,5.0,4.1,18.6,6.5,34.6,2.4,16.9,2.3,5.3,2397.0
1174,36061011500,11.6,17.4,3.4,8.7,2.7,3.1,17.6,5.3,23.3,1.6,18.1,1.5,9.6,2303.0
1175,36061011600,14.2,17.0,5.2,8.9,2.6,2.8,19.6,4.3,25.3,1.5,16.4,1.4,5.0,3543.0
1176,36061011700,9.2,13.1,3.0,8.4,1.6,2.0,18.0,3.3,20.0,1.1,16.0,0.9,6.7,3364.0
1177,36061011800,19.8,22.3,7.6,9.1,4.1,3.8,20.0,5.7,30.6,2.1,17.3,2.0,6.0,8767.0
1178,36061011900,32.1,45.9,8.4,10.4,11.8,9.6,17.4,19.8,42.2,5.6,30.7,6.3,25.6,1120.0
1179,36061012000,26.5,29.6,10.7,9.0,6.2,5.2,18.7,7.9,37.5,2.9,17.9,2.9,6.2,3971.0
1180,36061012100,19.4,24.9,6.3,9.3,4.8,4.9,19.3,7.8,31.3,2.5,20.4,2.5,10.0,8554.0
1181,36061012200,26.2,29.3,11.2,8.5,5.9,4.5,17.7,7.5,38.2,2.8,17.1,2.7,4.9,3633.0
1182,36061012400,16.0,18.6,6.2,8.9,3.2,3.1,19.5,4.6,26.5,1.8,16.2,1.6,5.3,10218.0
1183,36061012500,11.3,16.1,3.7,8.2,2.4,2.6,17.0,4.5,22.8,1.5,15.4,1.3,6.5,2719.0
