,GeoID,SE_Unemploy,SE_Insurance,SE_Poverty,SE_English
301,36005041500,6.7,88.3,27.1,23.1
302,36005041800,13.9,93.9,21.9,6.9
303,36005041900,11.9,92.0,21.8,21.7
304,36005042000,11.8,87.9,25.0,11.9
305,36005042100,11.2,87.4,22.2,22.8
306,36005042200,8.8,90.1,10.0,9.1
307,36005042300,6.0,89.4,24.7,22.4
308,36005042400,4.9,90.9,9.9,5.8
309,36005042500,12.7,93.7,25.4,24.6
310,36005042600,8.6,93.8,6.4,4.3
311,36005042800,2.3,94.9,8.5,6.6
312,36005042901,6.3,91.9,24.3,32.5
313,36005042902,16.9,90.1,29.8,16.2
314,36005043000,8.8,93.3,16.2,6.1
315,36005043100,8.5,91.8,25.5,24.6
316,36005043400,5.4,93.4,15.4,13.5
317,36005043500,22.7,94.6,38.5,19.5
318,36005043600,6.4,89.1,11.6,2.5
319,36005044200,9.5,91.1,22.4,1.8
320,36005044400,7.6,89.9,5.6,4.2
321,36005044800,5.3,93.7,6.1,1.1
322,36005044901,5.8,91.5,7.6,2.2
323,36005044902,3.5,94.0,10.9,1.7
324,36005045101,4.3,93.7,2.4,5.2
325,36005045102,2.5,92.1,3.8,8.8
326,36005045600,5.3,97.3,3.7,10.4
327,36005045800,16.3,98.4,36.5,22.2
328,36005046000,14.5,96.0,26.9,5.5
329,36005046201,5.6,95.0,9.7,15.6
330,36005046202,14.9,92.7,13.1,9.7
331,36005048400,7.9,90.7,2.5,5.5
332,36005051600,5.6,92.8,6.1,7.7
333,36047000100,2.4,92.2,8.4,2.9
334,36047000200,7.1,85.3,26.7,29.4
335,36047000301,4.5,94.1,14.3,0.3
336,36047000501,6.8,97.6,7.1,5.7
337,36047000502,4.0,96.9,2.6,3.8
338,36047000700,2.5,98.9,7.5,1.3
339,36047000900,4.3,98.9,5.3,1.7
340,36047001100,6.0,97.7,7.9,0.0
341,36047001300,0.7,84.2,24.5,2.0
342,36047001500,6.6,97.3,20.9,9.2
343,36047002000,12.4,79.9,29.5,22.6
344,36047002100,4.1,97.1,5.2,1.0
345,36047002200,9.4,81.6,23.7,31.7
346,36047002300,39.1,89.9,51.4,14.2
347,36047002901,14.2,96.4,41.6,16.8
348,36047003000,4.1,96.6,9.6,13.2
349,36047003100,2.4,98.7,6.0,12.1
350,36047003300,2.9,98.6,11.4,2.8
351,36047003400,0.8,91.1,16.4,14.3
352,36047003500,6.1,94.6,9.5,6.2
353,36047003600,3.7,98.1,12.0,25.1
354,36047003700,0.5,96.9,5.6,2.2
355,36047003800,6.4,95.3,9.7,14.9
356,36047003900,5.1,98.1,4.4,4.7
357,36047004100,4.2,96.6,8.2,4.4
358,36047004300,3.6,97.1,9.6,2.0
359,36047004400,2.3,97.1,5.3,7.6
360,36047004500,2.7,98.0,4.4,1.1
361,36047004600,2.5,99.2,4.4,9.8
362,36047004700,6.8,99.7,8.4,1.5
363,36047004900,4.7,96.2,7.3,3.9
364,36047005000,6.1,97.1,4.1,10.2
365,36047005100,1.5,98.6,4.1,1.4
366,36047005201,3.4,99.3,28.7,29.4
367,36047005202,2.4,96.4,14.9,8.2
368,36047005300,2.6,94.7,13.0,5.2
369,36047005400,2.9,95.6,11.6,11.3
370,36047005601,5.0,94.7,7.6,6.5
371,36047005602,3.5,92.5,6.9,5.6
372,36047005800,13.4,95.8,15.1,17.0
373,36047005900,3.1,91.5,8.1,5.3
374,36047006000,1.9,84.8,9.2,19.0
375,36047006200,0.8,94.7,18.7,24.6
376,36047006300,4.5,95.0,7.5,0.8
377,36047006400,6.6,91.6,8.9,12.9
378,36047006500,3.6,95.4,6.4,0.7
379,36047006600,6.5,91.6,14.4,14.3
380,36047006700,3.9,99.1,4.8,0.4
381,36047006800,7.7,82.7,19.3,21.0
382,36047006900,4.8,98.0,4.2,1.9
383,36047007000,2.2,96.0,7.6,19.6
384,36047007100,15.0,93.9,21.9,10.2
385,36047007200,2.9,87.0,28.1,41.8
386,36047007400,9.9,80.6,42.4,46.0
387,36047007500,1.6,95.7,8.1,5.4
388,36047007600,6.8,75.0,25.0,47.3
389,36047007700,4.7,97.2,7.7,9.2
390,36047007800,5.1,81.9,15.4,45.7
391,36047008000,2.5,84.6,12.5,35.8
392,36047008200,8.9,91.8,21.3,22.7
393,36047008400,4.0,81.1,15.9,34.9
394,36047008500,30.9,91.9,44.6,23.5
395,36047008800,5.9,90.1,10.3,22.9
396,36047009000,5.4,85.3,19.2,34.4
397,36047009200,8.4,89.0,28.9,48.2
398,36047009400,3.9,86.4,20.5,55.5
399,36047009600,5.3,80.0,27.6,40.2
400,36047009800,3.7,82.1,34.3,57.2
401,36047010000,6.4,85.2,19.8,47.5
402,36047010100,3.8,84.7,12.8,20.2
403,36047010200,3.2,86.9,14.7,56.8
404,36047010400,5.3,92.4,21.7,65.6
405,36047010600,5.1,88.9,32.3,64.0
406,36047010800,2.7,81.3,28.4,55.9
407,36047011000,4.0,87.7,22.5,34.9
408,36047011200,5.2,93.4,32.6,44.1
409,36047011400,2.9,93.6,27.4,37.1
410,36047011600,5.3,91.2,21.1,59.4
411,36047011700,2.9,96.5,14.6,11.0
412,36047011800,7.4,91.4,19.7,52.6
413,36047011900,8.3,95.2,13.7,10.5
414,36047012000,5.5,88.5,23.9,55.3
415,36047012100,2.3,93.8,11.3,5.3
416,36047012200,10.4,84.3,27.5,60.9
417,36047012600,6.3,90.8,21.9,31.7
418,36047012700,10.9,95.4,36.5,11.1
419,36047012801,4.7,94.2,41.4,43.7
420,36047012901,4.4,97.3,13.9,2.8
421,36047012902,2.7,98.2,7.0,3.5
422,36047013000,6.2,95.5,12.3,23.9
