,GeoID,GHLTH,MHLTH,PHLTH,TotalPopulation
845,36047064000,10.9,10.3,8.7,1599.0
846,36047064200,15.0,12.6,11.3,2518.0
847,36047064400,13.2,12.1,9.7,2528.0
848,36047064600,12.6,11.9,9.5,2189.0
849,36047064800,12.9,11.6,9.3,1945.0
850,36047065000,15.9,11.7,10.4,1389.0
851,36047065200,11.7,10.3,9.0,1232.0
852,36047065400,13.1,11.6,10.1,1607.0
853,36047065600,13.3,11.9,10.3,1708.0
854,36047065800,11.7,10.4,9.3,1762.0
855,36047066000,12.8,10.9,9.9,1773.0
856,36047066200,15.5,11.7,11.1,1411.0
857,36047067000,16.6,12.3,10.7,2680.0
858,36047067200,19.2,13.7,11.6,1422.0
859,36047067400,18.8,13.6,11.9,1964.0
860,36047067600,17.4,12.3,11.0,1657.0
861,36047067800,17.0,12.6,10.8,2660.0
862,36047068000,19.3,13.6,12.1,1809.0
863,36047068200,15.7,12.0,10.0,2432.0
864,36047068600,14.9,11.1,10.7,1533.0
865,36047068800,15.9,11.6,10.7,1614.0
866,36047069000,16.9,12.1,10.8,1791.0
867,36047069200,14.4,11.4,9.3,2392.0
868,36047069601,14.5,11.7,10.3,3780.0
869,36047069602,16.4,13.4,11.8,5995.0
870,36047069800,16.9,12.5,12.1,1277.0
871,36047070000,13.5,11.6,10.6,1703.0
872,36047070201,12.2,10.7,9.6,6573.0
873,36047070600,12.7,11.2,10.0,2700.0
874,36047072000,16.6,13.1,10.3,2167.0
875,36047072200,18.4,12.4,11.3,2655.0
876,36047072400,18.0,12.5,11.2,1755.0
877,36047072600,17.3,12.2,10.5,2093.0
878,36047072800,17.2,11.7,10.9,3193.0
879,36047073000,15.0,10.9,9.7,1979.0
880,36047073200,17.9,12.7,11.1,2096.0
881,36047073400,15.1,11.2,9.4,1889.0
882,36047073600,18.0,13.1,11.2,3368.0
883,36047073800,21.1,14.7,13.3,3225.0
884,36047074000,16.4,12.4,10.1,3531.0
885,36047074200,19.3,14.6,12.3,3292.0
886,36047074400,11.6,12.5,9.0,2492.0
887,36047074600,14.2,12.1,9.9,2003.0
888,36047074800,14.5,12.7,10.5,2012.0
889,36047075000,12.9,12.8,9.7,3029.0
890,36047075200,11.0,10.5,9.0,1130.0
891,36047075400,11.6,11.8,9.5,1488.0
892,36047075600,11.2,11.2,8.8,1993.0
893,36047075800,14.9,12.0,11.5,1816.0
894,36047076000,15.1,12.5,11.5,2776.0
895,36047076200,19.0,13.7,12.9,4235.0
896,36047076400,18.8,13.3,11.7,3487.0
897,36047076600,19.7,13.7,12.0,2061.0
898,36047076800,17.3,14.0,12.4,3407.0
899,36047077000,20.6,13.8,12.4,2722.0
900,36047077200,16.1,12.6,10.8,3394.0
901,36047077400,15.4,12.8,10.0,2881.0
902,36047077600,18.0,12.1,11.4,3806.0
903,36047078000,16.9,12.0,10.6,2092.0
904,36047078200,19.4,13.5,11.7,3864.0
905,36047078400,18.7,12.6,11.6,2348.0
906,36047078600,21.7,14.1,12.9,4256.0
907,36047078800,26.2,16.3,15.6,3422.0
908,36047079000,22.5,14.9,13.4,5094.0
909,36047079200,19.9,14.3,11.9,4372.0
910,36047079400,24.8,15.5,14.2,1864.0
911,36047079601,17.5,13.4,10.8,4413.0
912,36047079602,18.3,13.1,11.1,4814.0
913,36047079801,13.7,10.9,9.0,3037.0
914,36047079802,17.1,13.0,10.5,5451.0
915,36047080000,16.1,11.4,10.2,3487.0
