,GeoID,E_Advance,E_PreS
394,36047010400,15.6,40.7
395,36047010600,13.2,39.7
396,36047010800,11.1,43.3
397,36047011000,16.2,74.2
398,36047011200,21.8,91.4
399,36047011400,22.3,52.5
400,36047011600,17.5,45.5
401,36047011700,63.1,92.6
402,36047011800,15.7,61.9
403,36047011900,61.4,100.0
404,36047012000,16.3,50.0
405,36047012100,63.8,40.0
406,36047012200,17.7,0.0
407,36047012600,27.9,60.3
408,36047012700,41.0,100.0
409,36047012801,28.9,100.0
410,36047012901,80.0,68.4
411,36047012902,81.6,86.9
412,36047013000,35.9,89.3
413,36047013100,73.0,61.1
414,36047013200,26.7,50.0
415,36047013300,83.1,91.1
416,36047013400,47.8,72.9
417,36047013500,86.0,80.9
418,36047013600,59.4,78.3
419,36047013700,68.5,65.1
420,36047013800,45.6,100.0
421,36047013900,74.0,39.7
422,36047014000,42.5,64.9
423,36047014100,75.7,79.6
424,36047014200,41.3,26.9
425,36047014300,61.5,77.9
426,36047014500,56.7,81.3
427,36047014700,55.6,66.7
428,36047014800,40.1,77.8
429,36047014900,74.2,73.8
430,36047015000,42.8,100.0
431,36047015100,82.0,85.4
432,36047015200,43.2,100.0
433,36047015300,78.4,84.8
434,36047015500,81.7,75.6
435,36047015700,90.7,100.0
436,36047015900,84.7,61.7
437,36047016000,48.1,89.6
438,36047016100,69.3,100.0
439,36047016200,44.7,56.3
440,36047016300,80.9,67.5
441,36047016400,60.3,100.0
442,36047016500,88.3,87.3
443,36047016600,48.9,47.8
444,36047016700,85.4,61.5
445,36047016800,42.8,25.4
446,36047016900,72.1,63.0
447,36047017000,34.5,69.6
448,36047017100,75.6,94.7
449,36047017200,38.2,26.3
450,36047017400,34.3,82.1
451,36047017600,30.6,52.7
452,36047017800,27.0,52.0
453,36047017900,51.2,100.0
454,36047018000,31.2,0.0
455,36047018100,77.7,100.0
456,36047018200,26.1,15.1
457,36047018300,82.7,77.3
458,36047018400,33.3,70.4
459,36047018501,18.3,76.4
460,36047018600,32.9,86.4
461,36047018700,58.8,73.3
462,36047018800,27.9,75.0
463,36047019000,34.0,61.3
464,36047019100,73.2,69.6
465,36047019200,18.9,95.0
466,36047019300,46.1,100.0
467,36047019400,22.7,44.6
468,36047019500,75.0,86.3
469,36047019600,21.1,86.3
470,36047019700,74.0,93.1
471,36047019800,33.7,100.0
472,36047019900,71.7,59.5
473,36047020000,23.8,79.7
474,36047020100,69.0,68.9
475,36047020200,38.3,83.3
476,36047020300,61.8,100.0
477,36047020400,34.4,37.9
478,36047020500,76.0,77.0
479,36047020600,44.6,31.0
480,36047020700,77.6,76.4
481,36047020800,32.1,50.8
482,36047021000,26.6,42.5
483,36047021100,34.6,100.0
484,36047021200,18.4,84.9
485,36047021300,38.9,100.0
486,36047021400,12.7,41.7
487,36047021500,61.7,100.0
488,36047021600,25.4,59.0
489,36047021700,51.3,100.0
490,36047021800,17.0,84.3
491,36047021900,48.0,42.6
492,36047022000,14.1,43.8
493,36047022100,47.8,100.0
494,36047022200,21.9,71.1
495,36047022400,26.4,70.4
496,36047022600,14.9,81.9
497,36047022800,20.5,65.3
498,36047022900,65.6,37.5
499,36047023000,18.6,83.4
500,36047023100,56.9,36.2
501,36047023200,11.5,58.3
502,36047023300,44.8,76.8
503,36047023400,17.4,96.5
504,36047023500,42.8,89.0
