GeoID,SE_Unemploy,SE_Insurance,SE_Poverty,SE_English,E_Advance,E_PreS,NE_Tem,NE_Ozone,NE_PM25,N_HFood,N_TreeD,N_LandUseMix,T_WalkVSDrive,T_Transit,T_NodeD,MH,PH
36047022600,6.3,81.9,20.2,35.8,14.9,81.9,97.31931034482764,41.4435901960784,8.92248082191781,0.0,1.8140063926292629,0.6624607461564905,0.0001470558687138,0.0166269210386857,821.6666666666666,83.9,86.3
36047022800,5.1,93.2,37.1,27.9,20.5,65.3,96.11190476190484,41.4540934640523,8.90544739726027,0.0,6.286686455725727,0.5440355310115783,0.0001120206166283,0.0135612018552127,834.1666666666666,82.6,84.9
36047022900,5.8,94.3,13.9,0.7,65.6,37.5,93.05093750000002,41.4735549019608,9.06387808219178,0.0,7.395152288673924,0.1634363029492145,0.0001108196618826,0.025301914580265,1103.7,88.2,91.9
36047023000,3.7,95.3,23.0,23.8,18.6,83.4,97.32745454545456,41.4616562091503,8.90837479452055,0.0,5.200635081660603,0.6232946089685566,8.588509562709886e-05,0.0104835732742709,687.6666666666666,79.9,82.9
36047023100,2.8,95.2,8.3,4.0,56.9,36.2,93.6113559322034,41.4758836601307,9.07956684931507,0.0,7.564483942141079,0.439899324727785,0.0001357903788448,0.029297520661157,1086.5,88.4,92.2
36047023200,3.0,98.6,43.6,16.2,11.5,58.3,96.20841897233204,41.4578294117647,8.89971945205479,0.0,4.915830108467857,0.654802447050702,6.839491136142607e-05,0.0080569690588992,606.4166666666666,79.8,82.2
36047023300,8.2,95.6,24.2,5.7,44.8,76.8,93.10617021276596,41.4920196078431,9.07062219178082,0.0,6.288664235397541,0.4174313814356353,9.072119966859188e-05,0.0162681946914312,1062.111111111111,85.5,88.9
36047023400,4.3,98.9,40.7,20.5,17.4,96.5,96.9053191489362,41.4451869281046,8.88296273972603,0.0,5.959838944928536,0.7426591274520827,7.754697090285921e-05,0.009202521359074,574.0,78.1,80.5
36047023500,2.5,94.2,21.3,12.4,42.8,89.0,95.98544303797472,41.4972176470588,9.0867504109589,0.0,6.575197411662116,0.5799871462237255,9.649970220608386e-05,0.0172797861507128,926.125,83.3,89.8
36047023600,4.6,98.2,50.1,26.7,13.9,78.5,96.90136842105272,41.4503366013072,8.88105342465753,0.0,6.123439755853286,0.665173161565772,6.97716061045986e-05,0.0078968253968253,562.7777777777778,78.1,80.7
36047023800,5.1,98.5,22.8,24.1,27.0,82.5,97.04047619047628,41.4575679738562,8.86871726027397,0.0,6.645596585834646,0.7751056103530707,7.718113264029854e-05,0.0090196078431372,560.6,81.5,83.3
36047024000,4.6,93.3,35.7,23.1,22.0,60.1,96.1585106382979,41.461026143790896,8.86835479452055,0.0,4.958651956113835,0.6166690070099857,7.937592177059443e-05,0.008203707649691,584.0,80.8,82.3
36047024100,8.1,89.2,22.8,14.6,44.4,64.1,97.7783,41.5090751633987,9.06776575342466,0.0,4.760288828026225,0.6280242919800325,0.0001795257579811,0.0306415432929564,1020.2,83.9,87.5
36047024200,6.7,96.2,15.8,17.0,15.3,93.2,96.74820754716993,41.4641274509804,8.84782273972603,0.0,4.3113541597668,0.7589466520922059,0.0001232538081188,0.0125283563621365,590.1538461538462,81.9,85.9
36047024300,10.7,90.3,20.2,7.1,49.0,100.0,93.64689655172424,41.506214379085,9.06366739726027,0.0,6.082262935023773,0.3472255604646537,0.0001012121669056,0.0219983397479435,1065.571428571429,86.7,89.3
36047024400,4.2,92.9,25.9,18.3,19.9,76.4,95.63208092485549,41.454354248366,8.81849917808219,0.0,3.9364232927395,0.4120114342061067,0.000106820820812,0.0145537368746139,622.5,83.3,85.8
36047024500,4.0,93.0,9.0,3.6,49.9,83.0,93.0769189189189,41.478654248366,9.05303068493151,0.0,6.694330662877343,0.3844387346884127,0.0001000651317822,0.0232584332939122,984.1111111111112,87.5,90.3
36047024600,7.9,88.2,12.4,36.4,26.7,71.8,94.68875000000004,41.4549235294118,8.79113616438356,0.0,3.658356483784644,0.5175854918166777,0.0001050570001914,0.0113636363636363,572.1111111111111,85.9,87.1
36047024700,6.8,93.9,26.3,6.9,32.4,56.4,94.9358373205742,41.4777124183007,9.04676383561644,0.0,4.273508882324466,0.7755245119401895,0.0001520498005437,0.0405392439071195,977.8888888888888,83.5,85.4
36047024800,3.6,88.4,11.9,48.1,21.0,83.7,94.57676923076932,41.4608287581699,8.82733753424658,0.0,2.6203059655119976,0.6892073521441335,0.0001395794524895,0.0158450704225352,607.4166666666666,86.1,87.4
36047024900,7.0,92.9,15.2,2.4,54.1,100.0,92.13299465240648,41.4760385620915,9.04458136986301,0.0,6.605995681389137,0.2990594450512962,0.0001031619138065,0.021939576249019,933.125,88.1,90.9
36047025000,4.8,84.1,14.0,45.5,19.2,100.0,95.4619387755102,41.457391503268,8.84772273972603,0.0,2.519415790783228,0.6711347951268585,0.0002090999727983,0.0226066036170565,582.7857142857143,86.4,86.2
